"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"122"," 00AP","00APGK","Haringey - Noel Park",13939,247.3,11.5,38.2,12.1,20.8,0.5,79.75,19.0974962335892,8.5,45.2,51.7,25.4
"123"," 00BG","00BGGB","Tower Hamlets - Bromley-by-Bow",14480,78,11.7,NA,NA,NA,NA,79.65,26.7334254143646,5.8,70.4,43.5,22
"124"," 00BJ","00BJFZ","Wandsworth - Balham",14751,90.3,11.7,10.9,2.4,7.1,0.7,81.85,15.687072062911,7.8,19.4,28.5,6.5
"125"," 00AZ","00AZGP","Lewisham - Lee Green",14573,84.4,11.9,21.2,6.3,14.6,0.7,79.15,19.3096822891649,10.9,33.7,28.9,8.1
"126"," 00AW","00AWGL","Kensington and Chelsea - Pembridge",7659,163.4,11.9,12.7,2.7,6.2,0.5,83.9,NA,NA,NA,NA,NA
"127"," 00BA","00BAGDag","Merton - Graveney",9816,61,12.3,NA,NA,NA,NA,84.25,18.2457212713936,10.9,57.5,54.1,23.1
"128"," 00BB","00BBGH","Newham - East Ham North",13866,79.7,12.3,17.6,8.9,19.9,0.7,74.1,21.8736477715275,7.9,90.8,60.2,31.5
"129"," 00AM","00AMGD","Hackney - Clissold",12212,82.5,12.3,34,5.6,14.3,0.5,80.3,18.7111038322961,6.6,34.7,32,10.6
"130"," 00BG","00BGGE","Tower Hamlets - Mile End and Globe Town",15190,85,12.4,46,8.8,19.5,0.4,81.45,NA,NA,NA,NA,NA
"131"," 00BJ","00BJGG","Wandsworth - Latchmere",15358,85,12.5,47,8.2,17.9,0.4,77.25,18.9608021877849,8.5,44.5,39.7,11.5
"132"," 00BG","00BGGC","Tower Hamlets - East India and Lansbury",14859,107.4,12.5,57.5,19.5,30.7,0.4,78.35,NA,NA,NA,NA,NA
"133"," 00AM","00AMGB","Hackney - Cazenove",13392,63.2,12.8,33.8,9.9,23.5,0.4,80.55,28.3751493428913,5.4,43.3,36.4,16.4
"134"," 00BA","00BAFX","Merton - Abbey",10323,82,12.8,14.1,2,10.1,0.7,80.5,15.7318608931512,8.5,26.6,38.3,12.5
"135"," 00BF","00BFGM","Sutton - Sutton Central",10993,179.9,12.9,22.7,5.6,18.6,0.8,78,18.7573910670427,11.5,24.1,26.9,99.7
"136"," 00AD","00ADGG","Bexley - Colyers",11128,44.6,13.1,29.4,6.7,25.1,1.1,79.2,22.1872753414809,14.5,17.7,12.3,2
"137"," 00AZ","00AZGU","Lewisham - Sydenham",15605,83.7,13.1,34.7,8,18.7,0.7,77.85,20.1666132649792,11.9,41.8,30.2,7.1
